label,conductor,delta,rank,a_invariants_raw
384g1,384,6912,0,"[0, -1, 0, -35, -69]"
384h1,384,6912,1,"[0, 1, 0, -35, 69]"
385a1,385,-2562175,1,"[1, -1, 1, -37, 124]"
385b1,385,-21175,1,"[1, 0, 0, 0, 7]"
387a1,387,-2539107,0,"[0, 0, 1, -174, -887]"
387b1,387,-846369,1,"[1, -1, 0, -15, -46]"
387c1,387,-1161,1,"[1, -1, 1, -2, 2]"
387d1,387,846369,0,"[1, -1, 1, -221, 1316]"
3870,387,-31347,0,"[0, 0, 1, -3, -9]"
389a1,389,389,2,"[0, 1, 1, -2, 0]"
390a1,390,9360,1,"[1, 1, 0, -13, 13]"
390b1,390,-249600,0,"[1, 1, 1, 15, 15]"
390c1,390,-561600,0,"[1, 0, 0, -6, 36]"
390d1,390,-4.09406E+12,0,"[1, 0, 1, 3997, 3998]"
3900,390,-35100,0,"[1, 1, 1, 4, -7]"
390f1,390,-998400,0,"[1, 1, 0, -52, -176]"
390g1,390,-2658140160,0,"[1, 0, 1, -289, 3092]"
392a1,392,-210827008,1,"[0, 0, 0, 49, -686]"
392b1,392,4519603984,0,"[0, 1, 0, -800, -8359]"
392c1,392,38416,1,"[0, -1, 0, -16, 29]"
392d1,392,-843308032,0,"[0, 1, 0, -16, 1392]"
3920,392,92236816,0,"[0, 0, 0, -343, -2401]"
392f1,392,784,1,"[0, 0, 0, -7, 7]"
395a1,395,-49375,0,"[1, -1, 1, -7, 14]"
395b1,395,-1234375,0,"[1, 1, 1, -40, -128]"
395c1,395,-246875,0,"[0, -1, 1, -50, 156]"
396a1,396,-7576222896,0,"[0, 0, 0, -696, -8215]"
396b1,396,-1154736,1,"[0, 0, 0, 24, 25]"
396c1,396,-2052864,0,"[0, 0, 0, 24, 52]"
398a1,398,-203776,0,"[1, 1, 0, -6, 20]"
399a1,399,543185433,1,"[1, 1, 0, -210, -441]"
399b1,399,25137,1,"[1, 1, 1, -13, -22]"
399c1,399,1008273,0,"[1, 0, 0, -431, 3408]"
400a1,400,1250000,1,"[0, 0, 0, -50, -125]"
400b1,400,-3276800,0,"[0, 1, 0, -48, -172]"
400c1,400,-5120000,1,"[0, -1, 0, -8, 112]"
400d1,400,2000,0,"[0, -1, 0, -3, 2]"
4000,400,1250000,0,"[0, 1, 0, -33, -62]"
400f1,400,31250000,0,"[0, 1, 0, -83, 88]"
400g1,400,-800000000,0,"[0, 0, 0, 125, 1250]"
400h1,400,-51200,1,"[0, 0, 0, 5, 10]"
402a1,402,-51456,1,"[1, 1, 0, -2, -12]"
402b1,402,51456,0,"[1, 0, 1, -10, -4]"
402c1,402,7236,0,"[1, 1, 1, -37, 71]"
